Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,,
DOE-WPTO US Wave dataset,183911,b'Federal',46.3894,-125.115,0,,
Year,Month,Day,Hour,Minute,Significant Wave Height,< 2 meter,< 3 meter
2007,1,1,0,0,2.798409939,0,1
2007,1,1,3,0,2.82088995,0,1
2007,1,1,6,0,2.943979979,0,1
2007,1,1,9,0,3.114389896,1,1
2007,1,1,12,0,3.458790064,1,1
2007,1,1,15,0,3.712879896,1,1
2007,1,1,18,0,3.759429932,1,1
2007,1,1,21,0,3.784470081,1,1
2007,1,2,0,0,4.027390003,1,1
2007,1,2,3,0,4.227240086,1,1
2007,1,2,6,0,4.533899784,1,1
2007,1,2,9,0,4.58701992,1,1
2007,1,2,12,0,5.209660053,1,1
2007,1,2,15,0,5.654900074,1,1
2007,1,2,18,0,6.004529953,1,1
2007,1,2,21,0,5.709799767,1,1
2007,1,3,0,0,5.34005022,1,1
2007,1,3,3,0,5.128779888,1,1
2007,1,3,6,0,4.957859993,1,1
2007,1,3,9,0,4.667709827,1,1
2007,1,3,12,0,4.425409794,1,1
2007,1,3,15,0,4.31539011,1,1
2007,1,3,18,0,4.407139778,1,1
2007,1,3,21,0,4.451399803,1,1
2007,1,4,0,0,4.656119823,1,1
2007,1,4,3,0,4.591889858,1,1
2007,1,4,6,0,4.511380196,1,1
2007,1,4,9,0,4.565080166,1,1
2007,1,4,12,0,4.70607996,1,1
2007,1,4,15,0,5.068089962,1,1
2007,1,4,18,0,5.381909847,1,1
2007,1,4,21,0,5.260499954,1,1
2007,1,5,0,0,5.08795023,1,1
2007,1,5,3,0,4.903309822,1,1
2007,1,5,6,0,4.582220078,1,1
2007,1,5,9,0,4.295100212,1,1
2007,1,5,12,0,4.157660007,1,1
2007,1,5,15,0,4.602190018,1,1
2007,1,5,18,0,4.793630123,1,1
2007,1,5,21,0,4.889369965,1,1
2007,1,6,0,0,5.422920227,1,1
2007,1,6,3,0,5.974619865,1,1
2007,1,6,6,0,6.866829872,1,1
2007,1,6,9,0,7.422709942,1,1
2007,1,6,12,0,7.038239956,1,1
2007,1,6,15,0,6.367450237,1,1
2007,1,6,18,0,5.712779999,1,1
2007,1,6,21,0,5.24229002,1,1
2007,1,7,0,0,4.951489925,1,1
2007,1,7,3,0,4.80384016,1,1
2007,1,7,6,0,5.021190166,1,1
2007,1,7,9,0,5.024819851,1,1
2007,1,7,12,0,5.561860085,1,1
2007,1,7,15,0,6.395720005,1,1
2007,1,7,18,0,6.560480118,1,1
2007,1,7,21,0,6.28689003,1,1
2007,1,8,0,0,6.366159916,1,1
2007,1,8,3,0,6.513000011,1,1
2007,1,8,6,0,6.331739902,1,1
2007,1,8,9,0,5.936669827,1,1
2007,1,8,12,0,5.48251009,1,1
2007,1,8,15,0,5.030499935,1,1
2007,1,8,18,0,4.628349781,1,1
2007,1,8,21,0,4.285180092,1,1
2007,1,9,0,0,4.046790123,1,1
2007,1,9,3,0,3.67553997,1,1
2007,1,9,6,0,3.375590086,1,1
2007,1,9,9,0,3.176009893,1,1
2007,1,9,12,0,3.179689884,1,1
2007,1,9,15,0,3.531239986,1,1
2007,1,9,18,0,4.126070023,1,1
2007,1,9,21,0,4.365409851,1,1
2007,1,10,0,0,4.398439884,1,1
2007,1,10,3,0,4.448820114,1,1
2007,1,10,6,0,4.036789894,1,1
2007,1,10,9,0,3.83739996,1,1
2007,1,10,12,0,4.034019947,1,1
2007,1,10,15,0,4.364830017,1,1
2007,1,10,18,0,4.421020031,1,1
2007,1,10,21,0,4.275680065,1,1
2007,1,11,0,0,4.113840103,1,1
2007,1,11,3,0,3.976039886,1,1
2007,1,11,6,0,3.790009975,1,1
2007,1,11,9,0,3.603110075,1,1
2007,1,11,12,0,3.421560049,1,1
2007,1,11,15,0,3.200999975,1,1
2007,1,11,18,0,3.009380102,1,1
2007,1,11,21,0,2.899209976,0,1
2007,1,12,0,0,2.695489883,0,1
2007,1,12,3,0,2.624690056,0,1
2007,1,12,6,0,2.537389994,0,1
2007,1,12,9,0,2.526839972,0,1
2007,1,12,12,0,2.538180113,0,1
2007,1,12,15,0,2.547179937,0,1
2007,1,12,18,0,2.639430046,0,1
2007,1,12,21,0,2.716409922,0,1
2007,1,13,0,0,2.770200014,0,1
2007,1,13,3,0,2.800450087,0,1
2007,1,13,6,0,2.690500021,0,1
2007,1,13,9,0,2.506629944,0,1
2007,1,13,12,0,2.387059927,0,1
2007,1,13,15,0,2.308160067,0,1
2007,1,13,18,0,2.203660011,0,1
2007,1,13,21,0,2.097100019,0,1
2007,1,14,0,0,2.047219992,0,1
2007,1,14,3,0,2.101249933,0,1
2007,1,14,6,0,2.116480112,0,1
2007,1,14,9,0,2.15899992,0,1
2007,1,14,12,0,2.118050098,0,1
2007,1,14,15,0,2.052639961,0,1
2007,1,14,18,0,1.977830052,0,0
2007,1,14,21,0,1.891119957,0,0
2007,1,15,0,0,1.779629946,0,0
2007,1,15,3,0,1.662469983,0,0
2007,1,15,6,0,1.640290022,0,0
2007,1,15,9,0,1.814820051,0,0
2007,1,15,12,0,2.001009941,0,1
2007,1,15,15,0,2.036629915,0,1
2007,1,15,18,0,2.061049938,0,1
2007,1,15,21,0,2.035559893,0,1
2007,1,16,0,0,2.146539927,0,1
2007,1,16,3,0,2.490289927,0,1
2007,1,16,6,0,2.883729935,0,1
2007,1,16,9,0,3.078670025,1,1
2007,1,16,12,0,2.736900091,0,1
2007,1,16,15,0,2.50187993,0,1
2007,1,16,18,0,2.380059958,0,1
2007,1,16,21,0,2.351769924,0,1
2007,1,17,0,0,2.432579994,0,1
2007,1,17,3,0,2.696199894,0,1
2007,1,17,6,0,2.90831995,0,1
2007,1,17,9,0,3.010659933,1,1
2007,1,17,12,0,3.012120008,1,1
2007,1,17,15,0,2.933099985,0,1
2007,1,17,18,0,2.794909954,0,1
2007,1,17,21,0,2.62361002,0,1
2007,1,18,0,0,2.445410013,0,1
2007,1,18,3,0,2.283370018,0,1
2007,1,18,6,0,2.232160091,0,1
2007,1,18,9,0,2.299469948,0,1
2007,1,18,12,0,2.485399961,0,1
2007,1,18,15,0,2.725610018,0,1
2007,1,18,18,0,2.853889942,0,1
2007,1,18,21,0,2.950750113,0,1
2007,1,19,0,0,3.033469915,1,1
2007,1,19,3,0,3.113689899,1,1
2007,1,19,6,0,3.248399973,1,1
2007,1,19,9,0,3.328049898,1,1
2007,1,19,12,0,3.467880011,1,1
2007,1,19,15,0,3.400500059,1,1
2007,1,19,18,0,3.282629967,1,1
2007,1,19,21,0,3.155970097,1,1
2007,1,20,0,0,2.983989954,0,1
2007,1,20,3,0,2.974620104,0,1
2007,1,20,6,0,3.159329891,1,1
2007,1,20,9,0,3.069619894,1,1
2007,1,20,12,0,2.927809954,0,1
2007,1,20,15,0,2.902849913,0,1
2007,1,20,18,0,2.842259884,0,1
2007,1,20,21,0,2.844439983,0,1
2007,1,21,0,0,2.883150101,0,1
2007,1,21,3,0,2.847359896,0,1
2007,1,21,6,0,2.765160084,0,1
2007,1,21,9,0,2.664629936,0,1
2007,1,21,12,0,2.559159994,0,1
2007,1,21,15,0,2.637830019,0,1
2007,1,21,18,0,2.887779951,0,1
2007,1,21,21,0,2.907140017,0,1
2007,1,22,0,0,2.862720013,0,1
2007,1,22,3,0,2.915250063,0,1
2007,1,22,6,0,3.105600119,1,1
2007,1,22,9,0,3.406939983,1,1
2007,1,22,12,0,3.719049931,1,1
2007,1,22,15,0,3.783489943,1,1
2007,1,22,18,0,3.834120035,1,1
2007,1,22,21,0,3.885839939,1,1
2007,1,23,0,0,4.00191021,1,1
2007,1,23,3,0,4.061739922,1,1
2007,1,23,6,0,4.074639797,1,1
2007,1,23,9,0,3.986520052,1,1
2007,1,23,12,0,3.870929956,1,1
2007,1,23,15,0,3.638449907,1,1
2007,1,23,18,0,3.518699884,1,1
2007,1,23,21,0,3.339040041,1,1
2007,1,24,0,0,3.200370073,1,1
2007,1,24,3,0,3.043050051,1,1
2007,1,24,6,0,2.932590008,0,1
2007,1,24,9,0,2.697220087,0,1
2007,1,24,12,0,2.56682992,0,1
2007,1,24,15,0,2.560029984,0,1
2007,1,24,18,0,2.722300053,0,1
2007,1,24,21,0,3.015680075,1,1
2007,1,25,0,0,3.342940092,1,1
2007,1,25,3,0,3.562079906,1,1
2007,1,25,6,0,3.646490097,1,1
2007,1,25,9,0,3.566289902,1,1
2007,1,25,12,0,3.542929888,1,1
2007,1,25,15,0,3.579020023,1,1
2007,1,25,18,0,3.585489988,1,1
2007,1,25,21,0,3.492579937,1,1
2007,1,26,0,0,3.393019915,1,1
2007,1,26,3,0,3.265789986,1,1
2007,1,26,6,0,3.063440084,1,1
2007,1,26,9,0,2.819710016,0,1
2007,1,26,12,0,2.581089973,0,1
2007,1,26,15,0,2.453929901,0,1
2007,1,26,18,0,2.306230068,0,1
2007,1,26,21,0,2.128079891,0,1
2007,1,27,0,0,2.017280102,0,1
2007,1,27,3,0,1.999140024,0,0
2007,1,27,6,0,2.152709961,0,1
2007,1,27,9,0,2.426500082,0,1
2007,1,27,12,0,2.69987011,0,1
2007,1,27,15,0,2.935750008,0,1
2007,1,27,18,0,3.129319906,1,1
2007,1,27,21,0,3.232340097,1,1
2007,1,28,0,0,3.179490089,1,1
2007,1,28,3,0,3.03151989,1,1
2007,1,28,6,0,2.884609938,0,1
2007,1,28,9,0,2.780960083,0,1
2007,1,28,12,0,2.689589977,0,1
2007,1,28,15,0,2.584259987,0,1
2007,1,28,18,0,2.443779945,0,1
2007,1,28,21,0,2.306679964,0,1
2007,1,29,0,0,2.115570068,0,1
2007,1,29,3,0,1.957100034,0,0
2007,1,29,6,0,1.831009984,0,0
2007,1,29,9,0,1.731189966,0,0
2007,1,29,12,0,1.705340028,0,0
2007,1,29,15,0,1.768790007,0,0
2007,1,29,18,0,1.894950032,0,0
2007,1,29,21,0,1.983780026,0,0
2007,1,30,0,0,2.01225996,0,1
2007,1,30,3,0,1.997750044,0,0
2007,1,30,6,0,1.935359955,0,0
2007,1,30,9,0,1.82269001,0,0
2007,1,30,12,0,1.713230014,0,0
2007,1,30,15,0,1.703439951,0,0
2007,1,30,18,0,1.769709945,0,0
2007,1,30,21,0,1.84405005,0,0
2007,1,31,0,0,1.90605998,0,0
2007,1,31,3,0,1.975990057,0,0
2007,1,31,6,0,2.0520401,0,1
2007,1,31,9,0,2.205729961,0,1
2007,1,31,12,0,2.453160048,0,1
2007,1,31,15,0,2.637599945,0,1
2007,1,31,18,0,2.631959915,0,1
2007,1,31,21,0,2.544620037,0,1
2007,2,1,0,0,2.448120117,0,1
2007,2,1,3,0,2.432399988,0,1
2007,2,1,6,0,2.479310036,0,1
2007,2,1,9,0,2.524889946,0,1
2007,2,1,12,0,2.558020115,0,1
2007,2,1,15,0,2.578710079,0,1
2007,2,1,18,0,2.585160017,0,1
2007,2,1,21,0,2.559299946,0,1
2007,2,2,0,0,2.501569986,0,1
2007,2,2,3,0,2.377110004,0,1
2007,2,2,6,0,2.21604991,0,1
2007,2,2,9,0,2.078730106,0,1
2007,2,2,12,0,2.026259899,0,1
2007,2,2,15,0,1.955240011,0,0
2007,2,2,18,0,1.812649965,0,0
2007,2,2,21,0,1.75304997,0,0
2007,2,3,0,0,1.855839968,0,0
2007,2,3,3,0,2.068530083,0,1
2007,2,3,6,0,2.285209894,0,1
2007,2,3,9,0,2.528369904,0,1
2007,2,3,12,0,2.825000048,0,1
2007,2,3,15,0,2.96645999,0,1
2007,2,3,18,0,3.177589893,1,1
2007,2,3,21,0,3.250459909,1,1
2007,2,4,0,0,3.230530024,1,1
2007,2,4,3,0,3.034600019,1,1
2007,2,4,6,0,2.873810053,0,1
2007,2,4,9,0,2.712389946,0,1
2007,2,4,12,0,2.575829983,0,1
2007,2,4,15,0,2.380599976,0,1
2007,2,4,18,0,2.230669975,0,1
2007,2,4,21,0,2.111920118,0,1
2007,2,5,0,0,2.039340019,0,1
2007,2,5,3,0,2.01880002,0,1
2007,2,5,6,0,2.032350063,0,1
2007,2,5,9,0,2.050290108,0,1
2007,2,5,12,0,2.053159952,0,1
2007,2,5,15,0,2.050179958,0,1
2007,2,5,18,0,2.052069902,0,1
2007,2,5,21,0,2.052969933,0,1
2007,2,6,0,0,2.037270069,0,1
2007,2,6,3,0,2.003070116,0,1
2007,2,6,6,0,1.955940008,0,0
2007,2,6,9,0,1.904189944,0,0
2007,2,6,12,0,1.853440046,0,0
2007,2,6,15,0,1.918830037,0,0
2007,2,6,18,0,2.001679897,0,1
2007,2,6,21,0,2.040910006,0,1
2007,2,7,0,0,2.124890089,0,1
2007,2,7,3,0,2.161750078,0,1
2007,2,7,6,0,2.223690033,0,1
2007,2,7,9,0,2.394799948,0,1
2007,2,7,12,0,2.593080044,0,1
2007,2,7,15,0,2.755369902,0,1
2007,2,7,18,0,2.844300032,0,1
2007,2,7,21,0,2.854670048,0,1
2007,2,8,0,0,2.860320091,0,1
2007,2,8,3,0,2.954360008,0,1
2007,2,8,6,0,3.040580034,1,1
2007,2,8,9,0,3.12368989,1,1
2007,2,8,12,0,3.158090115,1,1
2007,2,8,15,0,3.16937995,1,1
2007,2,8,18,0,3.192379951,1,1
2007,2,8,21,0,3.184400082,1,1
2007,2,9,0,0,3.165499926,1,1
2007,2,9,3,0,2.973639965,0,1
2007,2,9,6,0,2.791199923,0,1
2007,2,9,9,0,2.647660017,0,1
2007,2,9,12,0,2.671819925,0,1
2007,2,9,15,0,2.841579914,0,1
2007,2,9,18,0,2.93088007,0,1
2007,2,9,21,0,3.007129908,1,1
2007,2,10,0,0,3.262550116,1,1
2007,2,10,3,0,3.32633996,1,1
2007,2,10,6,0,3.150710106,1,1
2007,2,10,9,0,2.992660046,0,1
2007,2,10,12,0,2.998100042,0,1
2007,2,10,15,0,3.114470005,1,1
2007,2,10,18,0,3.318919897,1,1
2007,2,10,21,0,3.415359974,1,1
2007,2,11,0,0,3.3582201,1,1
2007,2,11,3,0,3.580909967,1,1
2007,2,11,6,0,3.78689003,1,1
2007,2,11,9,0,3.634910107,1,1
2007,2,11,12,0,3.549530029,1,1
2007,2,11,15,0,3.508130074,1,1
2007,2,11,18,0,3.558890104,1,1
2007,2,11,21,0,4.119750023,1,1
2007,2,12,0,0,4.269909859,1,1
2007,2,12,3,0,4.167319775,1,1
2007,2,12,6,0,3.70107007,1,1
2007,2,12,9,0,3.161710024,1,1
2007,2,12,12,0,2.774729967,0,1
2007,2,12,15,0,2.496490002,0,1
2007,2,12,18,0,2.312930107,0,1
2007,2,12,21,0,2.29144001,0,1
2007,2,13,0,0,2.209630013,0,1
2007,2,13,3,0,2.048749924,0,1
2007,2,13,6,0,1.946130037,0,0
2007,2,13,9,0,1.885310054,0,0
2007,2,13,12,0,1.861039996,0,0
2007,2,13,15,0,1.87184,0,0
2007,2,13,18,0,1.904710054,0,0
2007,2,13,21,0,1.929129958,0,0
2007,2,14,0,0,1.914459944,0,0
2007,2,14,3,0,1.855080009,0,0
2007,2,14,6,0,1.777740002,0,0
